Taxonomic Group,Viral,Bacteria,Archaea,Fungi,Protozoa
blzpack_p,0.9153,0.5305,0.4728,0.1798,0.1026
bsc_p,0.8127,0.5126,0.477,0.1557,0.1143
bzip2_p,0.7255,0.468,0.4458,0.0899,0.1538
gzip_p,0.72,0.4587,0.4756,0.1486,0.0625
lizard_p,0.8941,0.5106,0.4523,0.1333,0.2857
lz4_p,0.91,0.5416,0.5,0.1486,0.093
lzop_p,0.7933,0.5043,0.532,0.0814,0.087
snzip_p,0.9899,0.6383,0.4612,0.5769,0.0455
zip_p,0.8068,0.4842,0.5136,0.1497,0.0
xz_p,0.5041,0.4125,0.3822,0.1839,0.2105
zstd_p,0.416,0.3861,0.4188,0.1618,0.1364
