Taxonomic Group,archaea,fungi,viral,bacteria,protozoa
blzpack,0.311811590575543,0.3305340398859255,0.35715868215660795,0.3155343790849489,0.3098275133416364
bsc,0.2502442649484927,0.25939285133864387,0.29213091847510564,0.2534812608510217,0.2412717770518908
bzip2,0.2772699939118048,0.28790680874329255,0.3109869429902961,0.2795976086770095,0.2755386026638077
GeCo3,0.23018059028901935,0.24149228670252432,0.253798523188444,0.2339299721032606,0.2287878247720893
gzip,0.298638233016524,0.3164524009169906,0.3368629579815033,0.30015205305250015,0.30427308645931617
JARVIS,0.22967723166716966,0.23893328763113456,0.2529366936800686,0.23330664847984084,0.2212564409901065
lizard,0.27672179688573884,0.2942018039105484,0.4496200364805745,0.27925628986346385,0.2792233228760916
lz4,0.3863459949942964,0.4056599299570058,0.503245235580713,0.3901581218319897,0.38154926915653176
lzop,0.36848835565307614,0.3856492544353972,0.412150499045781,0.3711518206634475,0.3662510000830054
mbgc,0.23700121779120242,0.24639217507738675,0.3430532039818137,0.24047538237719948,0.23106047494459575
MFCompress,0.23123662995006836,0.23952795384631895,0.2789086609472756,0.23445362867556654,0.2233772873884356
NUHT,0.25375235992943806,0.25625126109921925,0.2786100717686234,0.25501443298036525,0.24767733306651424
snzip,0.47710861588828873,0.49845575135065534,0.5215386555345817,0.4788152456038306,0.4865599449595379
zip,0.2871126510745471,0.30750667747881616,0.3668865840578171,0.2891927048095345,0.29448455332128964
xz,0.2630174365258016,0.2681268039350871,0.32801645235438304,0.2656118491903582,0.24806211629591018
zstd,0.2959248819024543,0.3130707882849267,0.329487515554683,0.2981821955250607,0.29867899908119167
