Taxonomic Group,archaea,fungi,viral,bacteria,protozoa
blzpack,0.6746486765392441,0.6994107126474105,0.9309036122661155,0.6985623628042211,0.6488788832456366
bsc,0.5022953188064511,0.5089050091437207,0.5592011703568448,0.5146108290865592,0.4790221242462571
bzip2,0.5285907404504143,0.5373117660640679,0.5533178057853961,0.5363567471673227,0.5177117371239244
gzip,0.5628770109771924,0.5759844148190314,0.5875079472145874,0.5747877778728613,0.5494474371566702
lizard,0.5490078747123922,0.5548093414079773,0.7756829734799415,0.5585139502272305,0.5252186500417411
lz4,0.7451596409960832,0.7672658120407866,0.9124665646329291,0.76503561803808,0.7244683300978073
lzop,0.7082700169246323,0.7312714211396402,0.7997582419216936,0.7286829684705064,0.6897418558085543
snzip,0.9890727113449607,0.996818620468925,1.0022149452601632,0.9976136591378895,0.969572514126835
zip,0.5628863858588438,0.5759816525118869,0.6183999808612031,0.5748356166233439,0.5492975677424933
xz,0.5201919502360957,0.5174879444030246,0.5486840633472172,0.5333374586156532,0.47506222669848536
zstd,0.5358929058951312,0.5448659042134103,0.5507866698944579,0.5466537716845961,0.5134746295432637
